km,pk,plus,alt,dec,len
1294,3,0,85.5,-3.6,100
1294,4,0,85.06,-4.4,100
1294,5,0,84.47,-5.9,100
1294,6,0,83.46,-10.1,100
1294,7,0,82.74,-7.2,100
1294,7,74.2,82.04,-9.4,74.2
1294,8,0,81.8,-9.3,25.8
1294,9,0,81.28,-5.2,100
1295,0,0,80.9,-3.8,100
1295,1,0,80.59,-3.1,100
1295,2,0,80.59,0,100
1295,3,0,80.66,0.7,100
1295,4,0,80.76,1,100
1295,5,0,80.86,1,100
1295,6,0,81.06,2,100
1295,7,0,81.5,4.4,100
1295,8,0,81.9,4,100
1295,9,0,82.68,7.8,100
1296,0,0,83.62,9.4,100
1296,1,0,84.68,10.6,100
1296,2,0,85.71,10.3,100
1296,3,0,86.2,4.9,100
1296,4,0,86.74,5.4,100
1296,5,0,87.14,4,100
1296,6,0,87.59,4.5,100
1296,6,47.2,87.71,2.5,47.2
1296,7,0,87.84,2.5,52.8
1296,8,0,87.98,1.4,100
1296,9,0,88.05,0.7,100
1297,0,0,88.12,0.7,100
1297,1,0,88.21,0.9,100
1297,2,0,88.22,0.1,100
1297,3,0,88.35,1.3,100
1297,4,0,88.34,-0.1,100
1297,5,0,88.32,-0.2,100
1297,6,0,88.26,-0.6,100.58
1297,6,28.7,88.33,2.4,28.7
1297,7,0,88.3,-0.4,71.3
1297,8,0,88.25,-0.5,100
1297,8,45.23,88.24,-0.2,45.23
1297,8,77.3,88.28,1.2,32.07
1297,9,0,88.28,0,22.7
1298,0,0,88.21,-0.7,100
1298,0,33.3,88.25,1.2,33.3
1298,0,63.85,88.3,1.6,30.55
1298,0,69.4,88.28,-3.6,5.55
1298,1,0,88.26,-0.7,30.6
1298,2,0,88.23,-0.3,100
